#,Kana,Kanji,Type,Definition/s
282,ざんねん,残念,"adj-na,n","bad luck, disappointment"
283,し,市,n,city
284,じ,字,n,"character, hand-writing"
285,しあい,試合,n,"match, game, contest"
286,しかた,仕方,n,"way, method"
287,しかる,,u-v,to scold
288,～しき,～式,,ceremony
289,しけん,試験,"n,vs","examination, test, study"
290,じこ,事故,n,accident
291,じしん,地震,n,earthquake
292,じだい,時代,n-t,"period, epoch, era"
293,したぎ,下着,n,underwear
294,したく・する,支度,"n,vs",preparation
295,しっかり,,"adj-na,adv,n","firmly, tightly, steady"
296,しっぱい,失敗,"adj-no,n,vs","failure, mistake, blunder"
297,しつれい,失礼,"adj-na,int,n,vs,exp","(1) discourtesy, impoliteness, (2) Excuse me, Goodbye"
298,じてん,辞典,n,dictionary
299,しなもの,品物,n,goods
300,しばらく,,"adv,int",little while
301,しま,島,n,island
302,（～て）しまう,,u-v,to end up ～
303,しみん,市民,n,citizen
304,じむしょ,事務所,n,office
305,しゃかい,社会,n,"society, public"
306,しゃちょう,社長,n,"company president, manager, director"
307,じゃま,,"adj-na,n,vs","hindrance, intrusion"
308,ジャム,,n,jam
309,じゆう,自由,"adj-na,exp,n",freedom
310,しゅうかん,習慣,n,"custom, habit, manners"
311,じゅうしょ,住所,n,"address (eg of house), residence, domicile"
312,じゅうどう,柔道,n,judo
313,じゅうぶん,十分,,"enough , sufficient"
314,しゅっせき・する,出席,"n,vs","attendance, presence"
315,しゅっぱつ・する,出発,"n,vs",departure
316,しゅみ,趣味,n,hobby
317,じゅんび・する,準備,n,prepare
318,しょうかい,紹介,"n,vs",introduction
319,しょうがつ,正月,n,"New Year, New Year's Day"
320,しょうがっこう,小学校,n,"primary school, elementary school"
321,しょうせつ,小説,n,"novel, story"
322,しょうたい・する,招待,"n,vs",invitation
323,しょうち・する,承知,"n,vs","consent, acceptance"
324,しょうらい,将来,"n-adv,n-t","future, prospects"
325,しょくじ・する,食事,"n,vs",meal
326,しょくりょうひん,食料品,n,"foodstuff, groceries"
327,じょせい,女性,n,woman
328,しらせる,知らせる,ru-v,"to notify, to advise"
329,しらべる,調べる,"ru-v,vt","to investigate, to check up"
330,じんこう,人口,n,population
331,じんじゃ,神社,n,Shinto shrine
332,しんせつ,親切,"adj-na,n","kindness, gentleness"
333,しんぱい・する,心配,"adj-na,n,vs","worry, concern"
334,しんぶんしゃ,新聞社,n,newspaper company
335,すいえい,水泳,"n,vs",swimming
336,すいどう,水道,n,"water service, water supply"
337,ずいぶん,,"adj-na,n-adv",extremely
338,すうがく,数学,n,"mathematics, arithmetic"
339,スーツ,,n,suit
340,スーツケース,,n,suitcase
341,スーパー（マーケット）,,n,super (market)
342,すぎる,過ぎる,"ru-v,vi","to exceed, to go beyond"
343,すく,,"u-v,vi",to become empty
344,すく,,"u-v,vi",to be less crowded
345,スクリーン,,n,screen
346,すごい,凄い,adj,"terrific, amazing, to a great extent"
347,すすむ,進む,u-v,"to make progress, to advance, to proceed"
348,すっかり,,adv,"all, completely, thoroughly"
349,ずっと,,"adv,n","straight, quickly, all of a sudden"
350,ステーキ,,n,steak
351,ステレオ,,n,stereo
352,すてる,捨てる,ru-v,to throw away
353,すな,砂,n,sand
354,すばらしい,,adj,"wonderful, splendid"
355,すべる,滑る,u-v,"to slide, to slip"
356,すみ,隅,"n,n-suf","corner, nook"
357,すむ,済む,u-v,"to finish, to end"
358,すり,,n,pickpocket
359,すると,,conj,"and, then"
360,～せい,～製,,made in　～
361,せいかつ・する,生活,"n,vs","living, life (one's daily existence), livelihood"
362,せいさん・する,生産,"ru-v,vi","production, manufacture"
363,せいじ,政治,n,"politics, government"
364,せいよう,西洋,n,"the west, Western countries"
365,せかい,世界,n,the world
366,せき,席,n,seat
367,せつめい,説明,"n,vs",explanation
368,せなか,背中,n,back (of body)
369,ぜひ,,"adv,n","certainly, without fail"
370,せわ・する,世話,"n,vs","looking after, help"
371,せん,線,"n,n-suf","line, wire"
372,ぜんぜん,,adv,"wholly, entirely"
373,せんそう,戦争,"n,vs",war
374,せんぱい,先輩,n,"senior, superior, elder"
375,せんもん,専門,n,"speciality, study major"
376,そう,,adv,really
377,そうだん・する,相談,"n,vs","consultation, discussion"
378,そだてる,育てる,"ru-v,vt","to raise, to rear, to bring up"
379,そつぎょう,卒業,"n,vs",graduation
380,そふ,祖父,n,grandfather
381,ソフト,,n,soft
382,そぼ,祖母,n,grandmother
383,それで,,conj,"and, thereupon, because of that"
384,それに,,conj,"besides, moreover"
385,それほど,,adv,"to that degree, extent"
386,そろそろ,,n,"gradually, steadily, soon"
387,そんな,,"adj-na,adj-pn,adv,n","such, like that, that sort of"
388,そんなに,,uk,"so much, like that"
389,～だい,～代,,～ age/period
390,たいいん・する,退院,"n,vs",leaving hospital
391,だいがくせい,大学生,n,"college student, university student"
392,だいじ,大事,"adj-na,n","important, valuable, serious matter"
393,だいたい,大体,n,"generally, substantially"
394,たいてい,,"adj-na,adv,n","generally, usually"
395,タイプ,,n,"type, style"
396,だいぶ,大分,adv,"considerably, greatly, a lot"
397,たいふう,台風,n,typhoon
398,たおれる,倒れる,"ru-v,vi","to collapse, to break down"
399,だから,,"conj,n","so, therefore"
400,たしか,確か,"adj-na,adv,exp,n","certain, sure, definite"
401,たす,足す,u-v,"to add (numbers), to do (eg. one's business)"
402,～だす,,,start to ～
403,たずねる,訪ねる,ru-v,to visit
404,たずねる,尋ねる,ru-v,to ask
405,ただしい,正しい,adj,"right, just, correct"
406,たたみ,畳,n,tatami mat (Japanese straw mat)
407,～だて,建て,n,"two storied, separate housing"
408,たてる,立てる,ru-v,"to stand (something) up, to erect (something)"
409,たてる,建てる,ru-v,"to build, to construct"
410,たとえば,例えば,adv,"for example, eg."
411,たな,棚,n,"shelves, rack"
412,たのしむ,楽む,u-v,to enjoy oneself
413,たのしみ,楽しみ,n,"pleasure, joy"
414,たまに,,"adv,suf","occasionally, once in a while"
415,ため,為,n,"good, advantage, in order to"
416,だめ,,"adj-na,n","useless, no good, hopeless"
417,たりる,足りる,ru-v,"to be sufficient, to be enough"
418,だんせい,男性,n,"male, man"
419,だんぼう,暖房,n,heating
420,ち,血,n,blood
421,チェック・する,,n,check
422,ちから,力,n-suf,"strength, power"
423,ちっとも,,adv,not at all (neg. verb)
424,～ちゃん,,n,suffix for familiar (female) person
425,ちゅうい,注意,"n,vs","caution, being careful, attention (heed)"
426,ちゅうがっこう,中学校,n,"junior high school, middle school pupil"
427,ちゅうしゃ,注射,"n,vs",injection
428,ちゅうしゃじょう,駐車場,n,"parking lot, parking place"
429,～ちょう,～町,n,～ of the town
430,ちり,地理,n,geography
431,～（に）ついて,,expr,"about, concerning, regarding"
432,つかまえる,捕まえる,ru-v,"to catch, to arrest, to seize"
433,つき,,n-suf,moon
434,～つき,～月,n-temp,month
435,つく,点く,"u-v, intrans-verb","to be started, to be switched on"
436,つける,,ru-v,to take
437,つける,漬ける,ru-v,"to soak, to moisten, to pickle"
438,つごう,都合,"adv,n","circumstances, condition, convenience"
439,つたえる,伝える,ru-v,"to tell, to report"
440,つづく,続く,"u-v,vi",to be continued
441,～つづける,～続ける,"ru-v,vt",to continue doing ～
442,つづける,続ける,"ru-v,vt","to continue, to keep up, to keep on"
443,つつむ,包む,u-v,"wrap, pack"
444,つま,妻,n,(hum) wife
445,つもり,,n,"intention, plan"
446,つる,釣る,u-v,to fish
447,つれる,連れる,ru-v,"to lead, to take (a person)"
448,ていねい,丁寧,"adj-na,n","polite, courteous"
449,テキスト,,n,"(1)text, (2)text book"
450,てきとう,適当,"adj-na,n","fitness, suitability"
451,できる,,ru-v,to be able to do
452,できるだけ,,,"if at all possible, as much as possible"
453,てつだう,手伝う,u-v,"to help, to assist, to take part in"
454,テニス,,n,tennis
455,てぶくろ,手袋,n,glove
456,てら,寺,n,temple
457,てん,点,"n,n-suf","spot, mark, point, dot"
458,てんいん,店員,n,"shop assistant, employee, clerk, salesperson"
459,てんきよほう,天気予報,,"weather forecast, weather report"
460,でんとう,電灯,n,electric light
461,でんぽう,電報,n,telegram
462,てんらんかい,展覧会,n,exhibition
463,と,都,n,"metroplitan, municipal"
464,どうぐ,道具,n,"tool, means"
465,とうとう,,,"finally, at last"
466,どうぶつえん,動物園,n,zoo
467,とおく,遠く,"adj-no,n-adv,n","far away, distant"
468,とおり,通り,n-suf,"～ Street, ～ Avenue"
469,とおる,通る,u-v,"to pass (by), to go through"
470,とくに,特に,adv,"particularly, especially"
471,とくべつ,特別,"adj-na,adv,n",special
472,とこや,,n,barber
473,とちゅう,途中,"n-adv,n-t","on the way, en route, midway"
474,とっきゅう,特急,n,"limited express (train, faster than an express)"
475,とどける,届ける,ru-v,to reach
476,とまる,泊まる,u-v,to stay at (eg. hotel)
477,とめる,止める,"ru-v,vt",to stop (something)
478,とりかえる,取り替える,ru-v,"to exchange, to replace"
479,どろぼう,泥棒,"n,vs","thief, burglar, robber"
480,どんどん,,adv,"steadily, little by little"
481,なおす,直す,"u-v,vt","to fix, to repair"
482,なおる,直る,"u-v,vi","to be fixed, to be repaired"
483,なおる,治る,"u-v,vi","to be cured, to heal"
484,なかなか,中々,adv,"very, considerably, quite"
485,なく,泣く,u-v,"to cry, to weep"
486,なくなる,無くなる,u-v,"to disappear, to get lost"
487,なくなる,亡くなる,u-v,to die
488,なげる,投げる,ru-v,"to throw, to cast away"
489,なさる,,aru-v,(hon) to do
490,なる,鳴る,u-v,"to sound, to ring, to resound"
491,なるべく,,adv,as much as possible
492,なるほど,,"adv,exp","I see, now I understand"
493,なれる,慣れる,ru-v,to grow accustomed to
494,におい,,ru-v,"odour, scent, smell"
495,にがい,苦い,adj,bitter
496,～にくい,,suf,difficult to do ～
497,にげる,逃げる,ru-v,"to escape, to run away"
498,にっき,日記,n,"diary, journal"
499,にゅういん・する,入院,"n,vs",hospitalization
500,にゅうがく・する,入学,n,"entry to school or university, matriculation"
501,にる,似る,ru-v,"to resemble, to be similar"
502,にんぎょう,人形,n,"doll, puppet, figure"
503,ぬすむ,盗む,u-v,to steal
504,ぬる,塗る,u-v,"to paint, to plaster"
505,ぬれる,,ru-v,to get wet
506,ねだん,,n,"price, cost"
507,ねつ,熱,"n,n-suf","fever, temperature"
508,ねっしん,,"adj-na,n","zeal, enthusiasm"
509,ねぼう,寝坊,"n,vs",sleeping in late
510,ねむい,眠い,adj,"sleepy, drowsy"
511,ねむる,眠る,u-v,to sleep
512,のこる,残る,u-v,"to remain, to be left"
513,のど,,n,throat
514,のりかえる,乗り換える,ru-v,"to transfer (trains), to change (bus, train)"
515,のりもの,乗り物,n,vehicle
516,は,葉,n,leaf
517,ばあい,場合,"n-adv,n","case, situation"
518,パート（タイム）,,"n-adv,n",part time (esp female part time employees)
519,ばい,倍,"n,vi,vs,vt","twice, double"
520,はいけん・する,拝見,"n,vs","(hum) (pol) seeing, look at"
521,はいしゃ,歯医者,n,dentist
522,～ばかり,,suf,"just did ～, only"
523,はこぶ,運ぶ,v5b,"to transport, to carry"
524,～はじめる,～始める,"ru-v,vt","to start doing　～, the beginning of ～"
525,はじめる,始める,"ru-v,vt","to start, to begin"
526,ばしょ,場所,n,"place, location"
527,はず,,n,it should be so
528,はずかしい,恥ずかしい,adj,"shy, ashamed, embarrassed"
529,パソコン,,n,(personal) computer
530,はつおん,発音,"n,vs",pronunciation
531,はっきり,,"adv,n","clearly, plainly, distinctly"
532,はなみ,花見,"n,vs","cherry-blossom viewing, flower viewing"
533,パパ,,n,"papa, father"
534,はやし,林,n,"woods, forester"
535,はらう,払う,u-v,to pay
536,ばんぐみ,番組,n,program (eg. TV)
537,はんたい,反対,"adj-na,n,vs","oppose, opposition, resistance"
538,ハンバーグ,,n,"hamburger (meat, no bun)"
539,ひ,日,"n-adv,n-t","sun, sunshine, day"
540,ひ,火,"n,n-suf","fire, flame, blaze"
541,ピアノ,,n,piano
542,ひえる,冷える,"ru-v,vi","to grow cold, to get chilly, to cool down"
543,ひかる,光る,"ru-v,vi","to shine, to glitter"
544,ひかり,光,n,light
545,ひきだし,引き出し,n,"drawer, drawing out"
546,ひげ,,n,beard
547,ひこうじょう,飛行場,n,airport
548,ひさしぶり,久しぶり,exp,after a long time
549,びじゅつかん,美術館,n,"art gallery, art museum"
550,ひじょうに,非常に,adv,"very, extremely, exceedingly"
551,びっくりする,,vs,to be surprised
552,ひっこす,引っ越す,u-v,"to move, to change residence"
553,ひつよう,必要,"adj-na,n","necessary, essential"
554,ひどい,,adj,"cruel, awful"
555,ひらく,開く,u-v,to open (eg. a festival)
556,ビル,,n,"(abbr) building, bill"
557,ひるま,昼間,"n-adv,n-t","daytime, during the day"
558,ひるやすみ,昼休み,"n-adv,n-t","lunch break, noon recess, noon rest period"
559,ひろう,拾う,u-v,"to pick up, to find, to gather"
560,ファックス,,"ru-v,vi",fax
561,ふえる,増える,"ru-v,vi","to increase, to multiply"
562,ふかい,深い,adj,"deep, profound, thick"
563,ふくざつ,複雑,"adj-na,n","complexity, complication"
564,ふくしゅう,復習,"n,vs","review, revision"
565,ぶちょう,部長,adjn,head of a section
566,ふつう,普通,"adj-na,adj-no,adv,n","(1) generally, ordinarily, usually, (2) train that stops at every station"
567,ぶどう,,n,grapes
568,ふとる,太る,u-v,"to grow fat (stout, plump), to become fat"
569,ふとん,布団,n,"bedding (Japanese style), futon"
570,ふね,舟,n,"ship, boat"
571,ふべん,不便,"adj-na,n",inconvenience
572,ふむ,踏む,u-v,"to step on, to tread on"
573,プレゼント,,n,"present, gift"
574,ぶんか,文化,n,"culture, civilization"
575,ぶんがく,文学,n,literature
576,ぶんぽう,文法,n,grammar
577,べつ,別,"adj-na,n,n-suf","distinction, different"
578,ベル,,n,bell
579,へん,変,"adj-na,n","strange, odd, peculiar"
580,へんじ,返事,"n,vs","reply, answer"
581,ぼうえき,貿易,n,trade (foreign)
582,ほうそう・する,放送,"n,vs","broadcast, broadcasting"
583,ほうりつ,法律,n,law
584,ぼく,僕,n,"(male) I, manservant"
585,ほし,星,n,star
586,ほど,,n,"degree, extent"
587,ほとんど,,"n-adv,n-t","mostly, almost"
588,ほめる,,ru-v,to praise
589,ほんやく,翻訳,"n,vs",translation (written)
590,まいる,参る,u-v,"(1) (hum) to go, to come"
591,まける,負ける,ru-v,"to lose, to be defeated"
592,まじめ,,"adj-na,n","diligent, serious"
593,まず,,adv,"first (of all), to start with"
594,または,,"conj,exp","or, otherwise"
595,まちがえる,間違える,ru-v,"to err, to make a mistake"
596,まにあう,間に合う,u-v,(1) to be in time for
597,～まま,,n,as it is
598,まわり,周り,"n,n-suf","surroundings, circulation"
599,まわる,回る,u-v,"to go around, to revolve"
600,まんが,漫画,n,"comic, cartoon"
601,まんなか,真中,n,"middle, centre"
602,みえる,見える,ru-v,"to be seen, to be in sight"
603,みずうみ,湖,n,lake
604,みそ,味噌,n,"miso, bean paste"
605,みつかる,見つかる,u-v,"(uk) to be found, to be discovered"
606,みつける,見つける,ru-v,"to discover, to find"
607,みな,皆,"adv,n","everyone, everybody"
608,みなと,港,n,"harbour, port"
